Date,Community Reputation,Business Activity Observations,Informal Credit Relationships,Asset Ownership,Utility and Bill Payment Patterns,Local Market Standing,Participation in Welfare or Support Programs,Family and Dependents,Seasonal and Environmental Impact,Behavioral Indicators,Business Location and Infrastructure,Customer and Supplier Relationships,Observed Consistency,Training and Skill Development,Debt and Liabilities,Savings and Insurance,Aadhaar Card,Ration Card,Voter ID Card,Risk
2022-01-01,Excellent,88,Unknown,None,Partially Paid,Low Footfall,Multiple Programs,10,High Seasonal Variation,Cautious,Home-Based,8,Irregular Operations,No Formal Training,29725.6,Insurance Policy,Not Verified,APL,Not Verified,No
2022-01-02,Poor,275,Has Defaults,Livestock,Partially Paid,New Business,Multiple Programs,9,Moderate Seasonal Variation,Good Problem-Solver,Moderate Traffic,24,Regularly Open,Multiple Certifications,41404.21,None,Verified,Antyodaya,Not Verified,Yes
2022-01-03,Poor,394,Has Defaults,Livestock,Partially Paid,Low Footfall,Enrolled in MUDRA,8,High Seasonal Variation,Indecisive,Remote Area,38,Regularly Open,Ongoing Training,2156.97,None,Verified,APL,Not Verified,Yes
2022-01-04,Good,454,Unknown,Vehicle,Partially Paid,New Business,Enrolled in MUDRA,6,High Seasonal Variation,Indecisive,Moderate Traffic,14,Irregular Operations,Multiple Certifications,34023.62,None,Verified,Antyodaya,Not Verified,Yes
2022-01-05,Poor,233,Unknown,Vehicle,Partially Paid,New Business,Enrolled in MUDRA,2,Minimal Seasonal Variation,Good Problem-Solver,Home-Based,21,Irregular Operations,Multiple Certifications,3579.8,None,Not Verified,Antyodaya,Verified,Yes
2022-01-06,Average,409,Good Credit History,Sewing Machine,Partially Paid,Average,None,8,Minimal Seasonal Variation,Cautious,Prime Location,32,Regularly Open,No Formal Training,4932.66,None,Verified,Antyodaya,Verified,No
2022-01-07,Poor,303,Good Credit History,Vehicle,On Time,Average,Enrolled in SHG,6,Weather Sensitive,Cautious,Moderate Traffic,5,Irregular Operations,Multiple Certifications,46829.08,Chit Fund Savings,Verified,Antyodaya,Verified,Yes
2022-01-08,Average,113,Unknown,Livestock,Partially Paid,Moderately Popular,Enrolled in MUDRA,8,Moderate Seasonal Variation,High Risk-Taker,Home-Based,13,Irregular Operations,Ongoing Training,4262.49,Chit Fund Savings,Verified,APL,Verified,Yes
2022-01-09,Good,364,Has Defaults,Livestock,Delayed Payments,Average,Enrolled in SHG,1,Weather Sensitive,Cautious,Home-Based,38,Irregular Operations,Multiple Certifications,1390.6,Chit Fund Savings,Verified,Not Provided,Not Verified,No
2022-01-10,Unknown,79,Good Credit History,None,On Time,New Business,Enrolled in SHG,1,High Seasonal Variation,Indecisive,Low Traffic Area,21,Irregular Operations,Ongoing Training,28478.71,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified,No
2022-01-11,Excellent,407,Has Defaults,Multiple Assets,No Records,Average,Enrolled in SHG,1,Minimal Seasonal Variation,Cautious,Remote Area,39,Irregular Operations,Completed Skill Training,20734.34,Both Savings and Insurance,Not Verified,BPL,Verified,No
2022-01-12,Good,109,Good Credit History,Livestock,On Time,Low Footfall,Enrolled in SHG,3,Moderate Seasonal Variation,Indecisive,Low Traffic Area,42,Irregular Operations,Multiple Certifications,42511.58,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified,Yes
2022-01-13,Poor,38,Unknown,Multiple Assets,Partially Paid,New Business,None,7,Minimal Seasonal Variation,Good Problem-Solver,Remote Area,15,Regularly Open,Completed Skill Training,42406.65,None,Not Verified,Not Provided,Not Verified,Yes
